Date;1 Week;1 Month;2 Month;3 Month;4 Month;5 Month;6 Month;7 Month;8 Month;9 Month;10 Month;11 Month;12 Month
 30-Dec-99;3,119;3,171;3,263;3,339;3,413;3,466;3,519;3,577;3,635;3,695;3,759;3,814;3,876
 29-Dec-99;3,115;3,180;3,266;3,345;3,417;3,466;3,517;3,577;3,635;3,692;3,759;3,812;3,873
 28-Dec-99;4,099;3,537;3,446;3,449;3,474;3,508;3,554;3,604;3,658;3,719;3,776;3,826;3,881
 27-Dec-99;4,033;3,538;3,446;3,450;3,474;3,506;3,552;3,603;3,656;3,717;3,774;3,825;3,881
 24-Dec-99;4,047;3,535;3,446;3,449;3,472;3,504;3,548;3,600;3,653;3,714;3,773;3,824;3,879
 23-Dec-99;4,036;3,538;3,445;3,447;3,471;3,503;3,547;3,598;3,653;3,712;3,770;3,824;3,879
 22-Dec-99;3,767;3,543;3,452;3,458;3,477;3,507;3,551;3,604;3,660;3,718;3,777;3,830;3,885
 21-Dec-99;3,001;3,564;3,459;3,466;3,482;3,508;3,551;3,604;3,659;3,719;3,780;3,837;3,895
 20-Dec-99;3,031;3,576;3,459;3,466;3,480;3,501;3,543;3,597;3,652;3,710;3,772;3,830;3,891
 17-Dec-99;3,060;3,563;3,459;3,465;3,476;3,498;3,539;3,590;3,644;3,705;3,766;3,823;3,890
 16-Dec-99;3,046;3,554;3,454;3,458;3,467;3,481;3,504;3,547;3,597;3,653;3,700;3,755;3,814
 15-Dec-99;3,019;3,551;3,451;3,456;3,464;3,478;3,497;3,536;3,586;3,634;3,678;3,736;3,797
 14-Dec-99;3,001;3,549;3,451;3,456;3,463;3,476;3,491;3,520;3,561;3,607;3,660;3,723;3,784
 13-Dec-99;3,009;3,547;3,452;3,455;3,463;3,475;3,489;3,518;3,559;3,599;3,652;3,713;3,772
 10-Dec-99;3,033;3,547;3,456;3,457;3,462;3,475;3,487;3,517;3,559;3,600;3,651;3,712;3,773
 09-Dec-99;3,049;3,546;3,461;3,461;3,465;3,476;3,487;3,518;3,561;3,602;3,653;3,713;3,776
 08-Dec-99;3,060;3,542;3,461;3,461;3,464;3,473;3,484;3,516;3,559;3,602;3,652;3,710;3,774
 07-Dec-99;3,076;3,542;3,462;3,461;3,462;3,471;3,483;3,516;3,561;3,605;3,653;3,710;3,773
 06-Dec-99;3,075;3,532;3,459;3,459;3,460;3,469;3,484;3,515;3,560;3,607;3,656;3,712;3,777
 03-Dec-99;3,072;3,521;3,454;3,454;3,457;3,467;3,482;3,513;3,560;3,608;3,656;3,714;3,780
 02-Dec-99;3,076;3,518;3,452;3,451;3,454;3,463;3,475;3,509;3,557;3,604;3,649;3,708;3,766
 01-Dec-99;3,074;3,512;3,451;3,450;3,453;3,460;3,473;3,506;3,554;3,601;3,649;3,703;3,763
 30-Nov-99;3,071;3,506;3,448;3,448;3,450;3,458;3,472;3,509;3,560;3,615;3,664;3,722;3,788
 29-Nov-99;3,056;3,494;3,446;3,445;3,449;3,456;3,469;3,508;3,556;3,614;3,662;3,717;3,780
 26-Nov-99;3,056;3,062;3,445;3,445;3,448;3,453;3,465;3,510;3,561;3,620;3,671;3,721;3,779
 25-Nov-99;3,053;3,058;3,444;3,444;3,446;3,448;3,455;3,493;3,539;3,584;3,628;3,675;3,728
 24-Nov-99;3,053;3,055;3,451;3,446;3,448;3,451;3,457;3,492;3,537;3,584;3,627;3,671;3,723
 23-Nov-99;3,050;3,056;3,454;3,451;3,454;3,456;3,461;3,496;3,538;3,583;3,628;3,675;3,729
 22-Nov-99;3,034;3,045;3,453;3,453;3,455;3,457;3,460;3,486;3,523;3,559;3,603;3,650;3,703
 19-Nov-99;2,972;3,026;3,451;3,450;3,451;3,451;3,454;3,476;3,506;3,543;3,578;3,615;3,661
 18-Nov-99;2,897;3,022;3,451;3,450;3,452;3,451;3,454;3,474;3,503;3,536;3,568;3,601;3,646
 17-Nov-99;3,006;3,030;3,451;3,449;3,448;3,449;3,453;3,467;3,488;3,513;3,541;3,572;3,607
 16-Nov-99;3,015;3,027;3,452;3,449;3,450;3,450;3,452;3,467;3,489;3,512;3,537;3,568;3,600
