Date;1 Week;2 Week;3Week;1 Month;2 Month;3 Month;4 Month;5 Month;6 Month;7 Month;8 Month;9 month;10 Month;11 Month;12 Month
28. joulu 01;3,343;3,342;3,339;3,330;3,316;3,294;3,275;3,262;3,256;3,252;3,255;3,264;3,285;3,306;3,341
27. joulu 01;3,349;3,347;3,347;3,359;3,340;3,319;3,292;3,276;3,269;3,268;3,269;3,275;3,295;3,323;3,349
24. joulu 01;3,695;3,577;3,476;3,434;3,380;3,340;3,297;3,277;3,259;3,253;3,252;3,257;3,271;3,294;3,320
21. joulu 01;3,693;3,584;3,476;3,436;3,380;3,339;3,299;3,275;3,254;3,246;3,244;3,244;3,256;3,276;3,302
20. joulu 01;3,681;3,593;3,475;3,439;3,382;3,343;3,312;3,283;3,262;3,256;3,254;3,254;3,261;3,280;3,299
19. joulu 01;3,358;3,583;3,469;3,440;3,385;3,348;3,311;3,286;3,263;3,259;3,255;3,255;3,263;3,281;3,303
18. joulu 01;3,314;3,511;3,450;3,428;3,387;3,350;3,318;3,300;3,278;3,275;3,273;3,276;3,296;3,320;3,343
17. joulu 01;3,313;3,498;3,446;3,426;3,381;3,349;3,313;3,290;3,270;3,265;3,263;3,265;3,286;3,309;3,334
14. joulu 01;3,313;3,485;3,446;3,424;3,381;3,346;3,304;3,271;3,247;3,238;3,236;3,237;3,257;3,272;3,291
13. joulu 01;3,309;3,479;3,443;3,425;3,380;3,342;3,294;3,255;3,222;3,206;3,198;3,196;3,210;3,220;3,236
12. joulu 01;3,307;3,307;3,442;3,429;3,390;3,351;3,308;3,277;3,247;3,235;3,234;3,237;3,254;3,273;3,297
11. joulu 01;3,295;3,297;3,437;3,423;3,388;3,351;3,310;3,276;3,251;3,237;3,233;3,242;3,263;3,283;3,304
10. joulu 01;3,286;3,289;3,437;3,420;3,389;3,360;3,331;3,303;3,280;3,275;3,278;3,287;3,310;3,334;3,363
7. joulu 01;3,287;3,290;3,439;3,422;3,394;3,370;3,344;3,319;3,299;3,293;3,299;3,312;3,328;3,350;3,378
6. joulu 01;3,289;3,292;3,443;3,423;3,388;3,364;3,324;3,300;3,277;3,274;3,279;3,288;3,299;3,320;3,341
5. joulu 01;3,297;3,296;3,297;3,424;3,377;3,348;3,294;3,253;3,226;3,198;3,182;3,175;3,177;3,184;3,194
4. joulu 01;3,307;3,308;3,307;3,424;3,381;3,348;3,292;3,250;3,221;3,193;3,179;3,173;3,172;3,176;3,187
3. joulu 01;3,320;3,321;3,323;3,422;3,383;3,346;3,294;3,250;3,220;3,193;3,176;3,170;3,169;3,174;3,183
30. marras 01;3,360;3,330;3,332;3,425;3,390;3,360;3,308;3,266;3,242;3,215;3,206;3,200;3,200;3,209;3,217
29. marras 01;3,376;3,339;3,339;3,449;3,404;3,376;3,331;3,297;3,274;3,250;3,241;3,237;3,237;3,257;3,268
28. marras 01;3,376;3,342;3,341;3,341;3,411;3,376;3,339;3,311;3,288;3,269;3,266;3,266;3,266;3,294;3,307
27. marras 01;3,377;3,343;3,341;3,343;3,410;3,377;3,341;3,314;3,292;3,278;3,274;3,273;3,273;3,294;3,309
26. marras 01;3,369;3,342;3,342;3,343;3,406;3,369;3,337;3,309;3,283;3,269;3,266;3,265;3,265;3,286;3,302
23. marras 01;3,375;3,344;3,345;3,345;3,414;3,375;3,349;3,323;3,297;3,283;3,281;3,281;3,281;3,302;3,318
22. marras 01;3,380;3,369;3,365;3,358;3,412;3,380;3,352;3,330;3,306;3,298;3,297;3,300;3,300;3,326;3,343
21. marras 01;3,363;3,380;3,366;3,349;3,390;3,363;3,336;3,308;3,278;3,259;3,252;3,248;3,248;3,256;3,265
20. marras 01;3,349;3,294;3,299;3,310;3,371;3,349;3,320;3,290;3,253;3,238;3,229;3,222;3,222;3,230;3,238
19. marras 01;3,373;3,303;3,313;3,327;3,395;3,373;3,346;3,323;3,296;3,286;3,284;3,284;3,284;3,303;3,315
16. marras 01;3,331;3,335;3,340;3,356;3,402;3,383;3,353;3,332;3,316;3,306;3,304;3,305;3,311;3,320;3,328
15. marras 01;3,337;3,342;3,346;3,357;3,388;3,359;3,314;3,280;3,249;3,230;3,221;3,213;3,209;3,210;3,214
14. marras 01;3,379;3,375;3,373;3,367;3,378;3,338;3,282;3,240;3,201;3,164;3,141;3,122;3,111;3,107;3,105
13. marras 01;3,622;3,503;3,455;3,422;3,397;3,351;3,287;3,237;3,195;3,150;3,122;3,097;3,077;3,070;3,063
12. marras 01;3,522;3,471;3,450;3,419;3,388;3,350;3,287;3,232;3,185;3,143;3,112;3,089;3,069;3,060;3,056
9. marras 01;3,563;3,509;3,471;3,423;3,393;3,342;3,272;3,216;3,165;3,118;3,085;3,057;3,037;3,026;3,020
8. marras 01;3,561;3,521;3,480;3,438;3,393;3,324;3,272;3,214;3,159;3,108;3,069;3,037;3,015;3,001;2,994
7. marras 01;3,768;3,660;3,589;3,542;3,454;3,371;3,325;3,264;3,210;3,161;3,124;3,091;3,067;3,049;3,043
6. marras 01;3,783;3,745;3,669;3,621;3,538;3,467;3,396;3,334;3,287;3,231;3,192;3,155;3,132;3,119;3,111
5. marras 01;3,768;3,744;3,663;3,613;3,556;3,491;3,427;3,371;3,326;3,280;3,245;3,211;3,187;3,173;3,165
2. marras 01;3,765;3,728;3,660;3,616;3,560;3,499;3,431;3,377;3,330;3,287;3,253;3,225;3,200;3,188;3,179
1. marras 01;3,764;3,734;3,684;3,623;3,569;3,512;3,441;3,387;3,342;3,300;3,267;3,239;3,213;3,199;3,193
31. loka 01;3,781;3,756;3,700;3,642;3,591;3,522;3,449;3,394;3,348;3,304;3,269;3,241;3,221;3,209;3,201
30. loka 01;3,789;3,767;3,732;3,671;3,605;3,558;3,474;3,421;3,372;3,330;3,297;3,266;3,250;3,240;3,232
29. loka 01;3,799;3,785;3,743;3,701;3,621;3,576;3,508;3,458;3,414;3,376;3,347;3,318;3,301;3,289;3,282
26. loka 01;3,801;3,791;3,749;3,709;3,625;3,579;3,518;3,473;3,432;3,399;3,369;3,350;3,337;3,327;3,324
25. loka 01;3,711;3,703;3,688;3,651;3,597;3,563;3,499;3,461;3,425;3,395;3,369;3,349;3,337;3,329;3,326
24. loka 01;3,779;3,759;3,717;3,684;3,616;3,575;3,516;3,475;3,437;3,406;3,383;3,364;3,353;3,345;3,343
23. loka 01;3,793;3,775;3,744;3,698;3,621;3,579;3,508;3,466;3,428;3,401;3,376;3,361;3,351;3,345;3,340
22. loka 01;3,807;3,788;3,758;3,708;3,629;3,580;3,506;3,463;3,425;3,399;3,371;3,357;3,345;3,339;3,333
19. loka 01;3,938;3,851;3,817;3,761;3,658;3,607;3,539;3,487;3,451;3,421;3,390;3,373;3,363;3,356;3,353
18. loka 01;3,991;3,901;3,838;3,782;3,678;3,633;3,567;3,520;3,483;3,458;3,431;3,417;3,408;3,402;3,399
17. loka 01;4,125;3,970;3,888;3,821;3,693;3,645;3,578;3,529;3,498;3,469;3,441;3,425;3,416;3,410;3,408
16. loka 01;3,844;3,825;3,800;3,769;3,670;3,626;3,562;3,518;3,485;3,459;3,434;3,419;3,410;3,406;3,405
15. loka 01;3,851;3,828;3,802;3,776;3,676;3,636;3,578;3,534;3,501;3,480;3,458;3,444;3,434;3,430;3,427
12. loka 01;3,860;;;3,783;3,683;3,656;3,596;3,555;3,525;3,507;3,487;3,477;3,471;3,467;3,466
11. loka 01;3,885;;;3,742;3,643;3,614;3,563;3,523;3,491;3,467;3,445;3,435;3,425;3,419;3,417
10. loka 01;3,966;;;3,789;3,663;3,624;3,567;3,528;3,491;3,466;3,444;3,429;3,419;3,413;3,410
9. loka 01;3,763;;;3,688;3,604;3,582;3,529;3,493;3,458;3,431;3,410;3,391;3,382;3,374;3,372
8. loka 01;3,753;;;3,669;3,585;3,557;3,501;3,461;3,429;3,405;3,381;3,365;3,354;3,349;3,347
5. loka 01;3,747;;;3,640;3,583;3,558;3,503;3,461;3,430;3,404;3,384;3,365;3,356;3,348;3,345
4. loka 01;3,764;;;3,692;3,624;3,598;3,546;3,504;3,468;3,445;3,421;3,405;3,398;3,394;3,392
3. loka 01;3,769;;;3,710;3,647;3,622;3,567;3,526;3,491;3,465;3,442;3,421;3,414;3,408;3,404
2. loka 01;3,780;;;3,722;3,670;3,651;3,605;3,569;3,537;3,519;3,498;3,485;3,480;3,478;3,477
1. loka 01;3,788;;;3,727;3,679;3,656;3,615;3,579;3,546;3,531;3,517;3,504;3,498;3,495;3,493
28. syys 01;3,788;;;3,727;3,678;3,656;3,616;3,579;3,546;3,532;3,517;3,505;3,500;3,498;3,496
27. syys 01;3,791;;;3,728;3,680;3,655;3,619;3,580;3,552;3,533;3,517;3,505;3,498;3,496;3,495
26. syys 01;3,840;;;3,735;3,684;3,648;3,621;3,587;3,559;3,541;3,531;3,519;3,512;3,509;3,509
25. syys 01;3,821;;;3,739;3,687;3,654;3,628;3,594;3,571;3,553;3,541;3,529;3,523;3,519;3,518
24. syys 01;3,805;;;3,749;3,694;3,661;3,644;3,608;3,583;3,574;3,565;3,556;3,551;3,547;3,545
21. syys 01;3,799;;;3,750;3,719;3,690;3,663;3,625;3,594;3,585;3,574;3,565;3,560;3,557;3,552
20. syys 01;3,804;;;3,758;3,723;3,701;3,675;3,641;3,618;3,606;3,593;3,579;3,575;3,570;3,567
19. syys 01;3,661;;;3,754;3,767;3,760;3,744;3,716;3,686;3,661;3,642;3,634;3,617;3,610;3,597
18. syys 01;3,802;;;3,808;3,796;3,779;3,767;3,742;3,707;3,678;3,656;3,639;3,618;3,604;3,590
17. syys 01;4,250;;;4,226;4,171;4,137;4,091;4,030;3,973;3,929;3,890;3,850;3,827;3,812;3,799
14. syys 01;4,292;;;4,286;4,188;4,160;4,105;4,045;3,991;3,946;3,905;3,869;3,850;3,839;3,828
13. syys 01;4,332;;;4,297;4,205;4,165;4,132;4,073;4,034;3,994;3,960;3,928;3,908;3,897;3,886
12. syys 01;4,389;;;4,291;4,225;4,176;4,143;4,097;4,048;4,007;3,973;3,933;3,911;3,897;3,883
11. syys 01;4,298;;;4,301;4,277;4,242;4,205;4,162;4,127;4,087;4,057;4,030;4,016;4,007;3,997
10. syys 01;4,299;;;4,301;4,275;4,242;4,197;4,150;4,114;4,070;4,036;4,004;3,987;3,975;3,966
7. syys 01;4,305;;;4,308;4,293;4,264;4,227;4,185;4,151;4,111;4,085;4,058;4,043;4,031;4,023
6. syys 01;4,307;;;4,314;4,301;4,279;4,258;4,220;4,185;4,161;4,139;4,117;4,104;4,097;4,089
5. syys 01;4,310;;;4,316;4,301;4,276;4,255;4,221;4,187;4,157;4,136;4,113;4,101;4,088;4,078
4. syys 01;4,314;;;4,314;4,293;4,258;4,239;4,196;4,159;4,117;4,086;4,047;4,030;4,015;4,005
3. syys 01;4,314;;;4,314;4,289;4,254;4,220;4,172;4,130;4,088;4,056;4,022;4,004;3,989;3,976
31. elo 01;4,316;;;4,315;4,290;4,253;4,215;4,166;4,123;4,083;4,050;4,019;4,001;3,985;3,975
30. elo 01;4,411;;;4,368;4,320;4,276;4,239;4,198;4,160;4,126;4,098;4,075;4,058;4,047;4,043
29. elo 01;4,457;;;4,360;4,314;4,270;4,222;4,186;4,150;4,117;4,089;4,062;4,045;4,034;4,030
28. elo 01;4,561;;;4,419;4,350;4,305;4,252;4,220;4,184;4,154;4,127;4,107;4,092;4,084;4,079
27. elo 01;4,549;;;4,422;4,353;4,315;4,264;4,231;4,198;4,171;4,148;4,129;4,115;4,108;4,105
24. elo 01;4,548;;;4,421;4,354;4,311;4,259;4,227;4,188;4,161;4,136;4,116;4,102;4,091;4,087
23. elo 01;4,529;;;4,426;4,358;4,313;4,252;4,216;4,177;4,148;4,121;4,100;4,086;4,076;4,070
22. elo 01;4,524;;;4,433;4,360;4,308;4,250;4,211;4,165;4,131;4,102;4,078;4,059;4,049;4,043
21. elo 01;4,534;;;4,466;4,378;4,325;4,259;4,220;4,176;4,139;4,110;4,081;4,063;4,052;4,046
20. elo 01;4,533;;;4,475;4,385;4,335;4,265;4,225;4,180;4,144;4,111;4,083;4,063;4,051;4,047
17. elo 01;4,533;;;4,484;4,397;4,345;4,280;4,245;4,203;4,169;4,139;4,114;4,096;4,084;4,078
16. elo 01;4,532;;;4,487;4,409;4,346;4,277;4,241;4,200;4,167;4,135;4,113;4,091;4,081;4,077
15. elo 01;4,532;;;4,495;4,424;4,357;4,291;4,256;4,213;4,179;4,151;4,127;4,104;4,095;4,086
14. elo 01;4,529;;;4,497;4,427;4,360;4,296;4,263;4,222;4,191;4,162;4,139;4,115;4,105;4,099
13. elo 01;4,529;;;4,499;4,433;4,362;4,297;4,260;4,218;4,187;4,156;4,131;4,105;4,096;4,091
10. elo 01;4,530;;;4,507;4,448;4,382;4,326;4,286;4,248;4,214;4,184;4,159;4,138;4,129;4,123
9. elo 01;4,531;;;4,518;4,470;4,410;4,355;4,317;4,280;4,244;4,215;4,192;4,173;4,164;4,156
8. elo 01;4,533;;;4,524;4,480;4,431;4,382;4,347;4,312;4,285;4,258;4,238;4,222;4,213;4,210
7. elo 01;4,533;;;4,523;4,477;4,425;4,374;4,340;4,301;4,269;4,242;4,220;4,199;4,191;4,188
6. elo 01;4,532;;;4,525;4,478;4,425;4,379;4,346;4,307;4,276;4,247;4,225;4,204;4,195;4,189
3. elo 01;4,534;;;4,529;4,480;4,433;4,397;4,367;4,336;4,305;4,280;4,261;4,241;4,232;4,229
2. elo 01;4,503;;;4,489;4,451;4,415;4,371;4,342;4,309;4,281;4,257;4,237;4,216;4,209;4,207
1. elo 01;4,528;;;4,505;4,472;4,429;4,386;4,356;4,323;4,295;4,270;4,250;4,228;4,218;4,215
31. heinä 01;4,541;;;4,514;4,481;4,444;4,398;4,368;4,336;4,308;4,283;4,263;4,241;4,231;4,226
30. heinä 01;4,544;;;4,516;4,492;4,455;4,409;4,382;4,352;4,322;4,296;4,276;4,256;4,247;4,241
27. heinä 01;4,552;;;4,519;4,519;4,457;4,420;4,392;4,370;4,342;4,320;4,299;4,283;4,274;4,268
26. heinä 01;4,551;;;4,523;4,523;4,464;4,429;4,403;4,383;4,360;4,341;4,322;4,309;4,301;4,299
25. heinä 01;4,548;;;4,523;4,523;4,466;4,428;4,400;4,383;4,359;4,338;4,321;4,304;4,296;4,291
24. heinä 01;4,545;;;4,523;4,523;4,469;4,426;4,398;4,377;4,353;4,331;4,311;4,297;4,287;4,283
23. heinä 01;4,543;;;4,519;4,519;4,474;4,429;4,402;4,384;4,359;4,339;4,321;4,305;4,297;4,294
20. heinä 01;4,529;;;4,518;4,518;4,475;4,436;4,409;4,389;4,367;4,349;4,333;4,319;4,312;4,309
19. heinä 01;4,514;;;4,505;4,505;4,466;4,422;4,389;4,368;4,343;4,321;4,306;4,294;4,285;4,283
18. heinä 01;4,534;;;4,534;4,534;4,483;4,446;4,418;4,400;4,374;4,358;4,343;4,332;4,324;4,321
17. heinä 01;4,536;;;4,534;4,534;4,483;4,446;4,418;4,399;4,374;4,358;4,344;4,332;4,324;4,320
16. heinä 01;4,539;;;4,536;4,513;4,486;4,450;4,422;4,404;4,380;4,365;4,352;4,340;4,332;4,327
13. heinä 01;4,538;;;4,533;4,508;4,484;4,446;4,421;4,401;4,378;4,361;4,349;4,337;4,327;4,325
12. heinä 01;4,535;;;4,534;4,510;4,487;4,452;4,429;4,409;4,392;4,374;4,359;4,349;4,341;4,337
11. heinä 01;4,536;;;4,533;4,512;4,487;4,450;4,423;4,402;4,383;4,366;4,350;4,337;4,325;4,317
10. heinä 01;4,539;;;4,538;4,519;4,499;4,469;4,446;4,430;4,410;4,396;4,384;4,377;4,369;4,367
9. heinä 01;4,544;;;4,541;4,509;4,482;4,450;4,429;4,415;4,394;4,377;4,367;4,357;4,351;4,349
6. heinä 01;4,546;;;4,536;4,497;4,471;4,446;4,431;4,423;4,405;4,393;4,388;4,378;4,376;4,375
5. heinä 01;4,539;;;4,516;4,475;4,446;4,414;4,395;4,391;4,374;4,364;4,358;4,352;4,350;4,349
4. heinä 01;4,544;;;4,529;4,480;4,448;4,423;4,408;4,405;4,389;4,381;4,376;4,372;4,370;4,370
3. heinä 01;4,539;;;4,502;4,453;4,416;4,379;4,352;4,339;4,319;4,307;4,295;4,289;4,284;4,284
2. heinä 01;4,553;;;4,517;4,467;4,435;4,395;4,374;4,361;4,342;4,331;4,321;4,311;4,306;4,305
29. kesä 01;4,554;;;4,523;4,466;4,441;4,402;4,383;4,373;4,355;4,344;4,335;4,324;4,320;4,317
28. kesä 01;4,559;;;4,508;4,449;4,410;4,365;4,333;4,316;4,291;4,274;4,263;4,252;4,242;4,236
27. kesä 01;4,646;;;4,526;4,472;4,435;4,385;4,351;4,326;4,309;4,293;4,283;4,275;4,265;4,260
26. kesä 01;4,641;;;4,523;4,469;4,426;4,373;4,334;4,302;4,283;4,267;4,256;4,247;4,238;4,231
25. kesä 01;4,620;;;4,525;4,469;4,432;4,376;4,340;4,307;4,288;4,274;4,260;4,253;4,248;4,245
22. kesä 01;4,601;;;4,525;4,473;4,433;4,381;4,346;4,315;4,302;4,291;4,280;4,272;4,266;4,262
21. kesä 01;4,567;;;4,511;4,471;4,433;4,381;4,348;4,318;4,307;4,296;4,287;4,278;4,273;4,269
20. kesä 01;4,541;;;4,529;4,482;4,452;4,411;4,370;4,342;4,335;4,323;4,316;4,311;4,306;4,302
19. kesä 01;4,536;;;4,536;4,490;4,462;4,425;4,388;4,360;4,353;4,347;4,339;4,335;4,327;4,326
18. kesä 01;4,540;;;4,541;4,498;4,464;4,431;4,396;4,366;4,362;4,353;4,346;4,342;4,336;4,334
15. kesä 01;4,543;;;4,541;4,495;4,465;4,436;4,403;4,375;4,370;4,362;4,355;4,353;4,348;4,347
14. kesä 01;4,550;;;4,541;4,498;4,474;4,449;4,422;4,397;4,393;4,387;4,383;4,381;4,380;4,379
13. kesä 01;4,551;;;4,541;4,496;4,470;4,450;4,424;4,400;4,399;4,391;4,388;4,388;4,387;4,385
12. kesä 01;4,545;;;4,529;4,483;4,449;4,418;4,383;4,349;4,339;4,333;4,326;4,323;4,319;4,318
11. kesä 01;4,548;;;4,532;4,484;4,451;4,417;4,381;4,348;4,336;4,329;4,323;4,319;4,316;4,315
8. kesä 01;4,555;;;4,530;4,485;4,451;4,423;4,386;4,357;4,348;4,340;4,334;4,327;4,324;4,321
7. kesä 01;4,512;;;4,488;4,457;4,433;4,393;4,361;4,334;4,327;4,317;4,313;4,310;4,308;4,307
6. kesä 01;4,535;;;4,514;4,480;4,449;4,406;4,370;4,343;4,334;4,321;4,314;4,309;4,306;4,304
5. kesä 01;4,552;;;4,550;4,520;4,486;4,447;4,405;4,379;4,373;4,365;4,359;4,354;4,350;4,349
