Date;1 Week;2 Week;3 Week;1 Month;2 Month;3 Month;4 Month;5 Month;6 Month;7 Month;8 Month;9 month;10 Month;11 Month;12 Month
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
01.02.02;3,317;3,320;3,319;3,312;3,298;3,279;3,259;3,241;3,228;3,223;3,225;3,233;3,253;3,280;3,312
01.03.02;3,339;3,334;3,327;3,318;3,296;3,272;3,263;3,249;3,239;3,237;3,239;3,251;3,277;3,303;3,337
01.04.02;3,361;3,356;3,357;3,357;3,307;3,292;3,284;3,274;3,267;3,269;3,272;3,285;3,310;3,335;3,367
01.07.02;3,356;3,352;3,351;3,353;3,322;3,312;3,304;3,297;3,298;3,300;3,308;3,326;3,353;3,377;3,415
01.08.02;3,351;3,349;3,347;3,347;3,327;3,311;3,301;3,292;3,285;3,284;3,288;3,302;3,322;3,343;3,373
01.09.02;3,356;3,356;3,357;3,356;3,339;3,325;3,317;3,311;3,310;3,314;3,324;3,339;3,358;3,385;3,420
01.10.02;3,361;3,359;3,359;3,360;3,348;3,338;3,329;3,325;3,326;3,331;3,342;3,361;3,384;3,413;3,450
01.11.02;3,352;3,353;3,356;3,353;3,348;3,345;3,344;3,345;3,352;3,367;3,384;3,407;3,432;3,463;3,501
01.14.02;3,349;3,349;3,352;3,350;3,341;3,331;3,326;3,321;3,317;3,321;3,330;3,346;3,364;3,386;3,420
01.15.02;3,344;3,343;3,347;3,345;3,339;3,329;3,329;3,327;3,325;3,331;3,341;3,360;3,379;3,403;3,444
01.16.02;3,345;3,347;3,349;3,346;3,339;3,335;3,334;3,334;3,335;3,340;3,352;3,369;3,386;3,412;3,449
01.17.02;3,344;3,348;3,349;3,348;3,346;3,344;3,347;3,347;3,350;3,356;3,369;3,387;3,407;3,435;3,470
01.18.02;3,342;3,346;3,346;3,349;3,346;3,345;3,347;3,349;3,351;3,359;3,369;3,389;3,409;3,438;3,475
01.21.02;3,334;3,342;3,343;3,346;3,347;3,346;3,349;3,352;3,354;3,364;3,377;3,400;3,420;3,449;3,486
01.22.02;3,334;3,345;3,345;3,349;3,348;3,349;3,355;3,362;3,368;3,379;3,395;3,419;3,448;3,479;3,519
01.23.02;3,341;3,342;3,343;3,347;3,353;3,361;3,370;3,379;3,389;3,406;3,426;3,453;3,481;3,519;3,558
01.24.02;3,345;3,345;3,345;3,353;3,360;3,369;3,379;3,389;3,394;3,411;3,432;3,459;3,487;3,525;3,563
01.25.02;3,346;3,348;3,349;3,354;3,367;3,378;3,389;3,403;3,419;3,436;3,464;3,497;3,527;3,566;3,610
01.28.02;3,348;3,348;3,350;3,356;3,366;3,381;3,389;3,404;3,423;3,449;3,479;3,515;3,553;3,598;3,649
01.29.02;3,352;3,352;3,352;3,353;3,364;3,378;3,384;3,394;3,406;3,426;3,454;3,489;3,521;3,566;3,616
01.30.02;3,350;3,350;3,350;3,352;3,355;3,362;3,366;3,374;3,384;3,401;3,423;3,453;3,486;3,526;3,572
01.31.02;3,350;3,350;3,350;3,353;3,360;3,371;3,379;3,396;3,411;3,434;3,463;3,496;3,527;3,576;3,624
