DATE;1 WEEK;2 WEEK;3 WEEK;1 MONTH;2 MONTH;3 MONTH;4 MONTH;5 MONTH;6 MONTH;7 MONTH;8 MONTH;9 MONTH;10 MONTH;11 MONTH;12 MONTH
01.02.03;2,908;2,905;2,901;2,899;2,88;2,861;2,833;2,811;2,794;2,78;2,765;2,752;2,749;2,74;2,734
01.03.03;2,902;2,901;2,898;2,898;2,883;2,863;2,843;2,825;2,814;2,81;2,802;2,798;2,798;2,798;2,797
01.06.03;2,892;2,891;2,889;2,886;2,876;2,86;2,835;2,819;2,801;2,796;2,789;2,783;2,781;2,779;2,777
01.07.03;2,883;2,883;2,883;2,882;2,871;2,859;2,832;2,813;2,791;2,781;2,772;2,762;2,761;2,755;2,752
01.08.03;2,871;2,87;2,869;2,87;2,862;2,853;2,824;2,805;2,777;2,765;2,755;2,749;2,742;2,735;2,731
01.09.03;2,854;2,854;2,853;2,854;2,845;2,834;2,799;2,776;2,75;2,741;2,727;2,721;2,713;2,704;2,699
01.10.03;2,848;2,849;2,852;2,854;2,847;2,836;2,813;2,789;2,77;2,762;2,752;2,744;2,739;2,732;2,73
01/13/03;2,846;2,848;2,852;2,853;2,845;2,829;2,813;2,791;2,767;2,761;2,75;2,739;2,733;2,727;2,722
01/14/03;2,844;2,844;2,848;2,853;2,844;2,829;2,812;2,791;2,768;2,76;2,747;2,738;2,731;2,725;2,722
01/15/03;2,843;2,844;2,848;2,853;2,845;2,829;2,812;2,789;2,765;2,757;2,748;2,735;2,729;2,725;2,723
01/16/03;2,843;2,846;2,847;2,853;2,844;2,828;2,811;2,784;2,761;2,756;2,747;2,734;2,731;2,724;2,722
01/17/03;2,844;2,847;2,849;2,854;2,845;2,83;2,812;2,784;2,763;2,754;2,745;2,733;2,726;2,722;2,719
01/20/03;2,843;2,849;2,85;2,853;2,845;2,828;2,806;2,78;2,756;2,747;2,736;2,721;2,713;2,707;2,705
01/21/03;2,844;2,849;2,851;2,853;2,844;2,831;2,809;2,787;2,76;2,744;2,734;2,722;2,713;2,703;2,702
01/22/03;2,827;2,837;2,837;2,842;2,836;2,825;2,803;2,78;2,748;2,73;2,718;2,705;2,695;2,686;2,685
01/23/03;2,837;2,836;2,835;2,839;2,835;2,823;2,803;2,777;2,748;2,731;2,719;2,703;2,694;2,685;2,683
01/24/03;2,843;2,838;2,837;2,839;2,833;2,819;2,791;2,76;2,732;2,714;2,702;2,688;2,675;2,665;2,66
01/27/03;2,845;2,836;2,835;2,835;2,827;2,814;2,784;2,754;2,725;2,707;2,694;2,675;2,663;2,653;2,645
01/28/03;2,848;2,837;2,835;2,835;2,826;2,818;2,789;2,76;2,733;2,717;2,703;2,689;2,679;2,67;2,666
01/29/03;2,844;2,835;2,835;2,834;2,825;2,813;2,783;2,748;2,72;2,703;2,683;2,667;2,655;2,645;2,638
01/30/03;2,836;2,833;2,832;2,833;2,823;2,811;2,784;2,75;2,721;2,706;2,692;2,674;2,665;2,657;2,652
01/31/03;2,833;2,832;2,833;2,833;2,823;2,807;2,781;2,745;2,715;2,699;2,681;2,664;2,653;2,644;2,636
02.03.03;2,83;2,829;2,829;2,832;2,82;2,807;2,785;2,75;2,725;2,708;2,695;2,68;2,671;2,663;2,658
02.04.03;2,828;2,827;2,826;2,83;2,819;2,805;2,781;2,746;2,716;2,701;2,687;2,67;2,66;2,651;2,644
02.05.03;2,817;2,817;2,819;2,824;2,812;2,795;2,77;2,733;2,699;2,681;2,661;2,642;2,626;2,617;2,609
02.06.03;2,814;2,815;2,819;2,822;2,807;2,79;2,767;2,727;2,696;2,681;2,667;2,651;2,64;2,631;2,624
02.07.03;2,806;2,807;2,81;2,812;2,793;2,763;2,723;2,68;2,64;2,626;2,608;2,594;2,579;2,567;2,558
02.10.03;2,804;2,805;2,809;2,81;2,783;2,74;2,7;2,654;2,615;2,599;2,581;2,565;2,55;2,541;2,533
02.11.03;2,803;2,805;2,81;2,811;2,778;2,741;2,704;2,656;2,619;2,6;2,591;2,578;2,56;2,551;2,546
02.12.03;2,801;2,803;2,809;2,807;2,767;2,728;2,685;2,637;2,599;2,581;2,563;2,545;2,531;2,521;2,513
02/13/03;2,799;2,802;2,802;2,796;2,745;2,707;2,662;2,609;2,569;2,553;2,536;2,518;2,504;2,494;2,485
02/14/03;2,799;2,801;2,801;2,795;2,723;2,687;2,649;2,6;2,565;2,548;2,531;2,515;2,505;2,496;2,489
02/17/03;2,8;2,803;2,801;2,798;2,731;2,693;2,652;2,607;2,582;2,566;2,552;2,542;2,532;2,524;2,518
02/18/03;2,801;2,804;2,801;2,798;2,729;2,689;2,649;2,604;2,576;2,556;2,542;2,525;2,516;2,508;2,499
02/19/03;2,799;2,801;2,799;2,798;2,728;2,687;2,647;2,605;2,576;2,559;2,542;2,524;2,515;2,507;2,499
02/20/03;2,819;2,804;2,799;2,797;2,724;2,679;2,636;2,592;2,558;2,541;2,521;2,5;2,49;2,483;2,474
02/21/03;2,821;2,804;2,798;2,795;2,723;2,679;2,635;2,591;2,557;2,538;2,521;2,501;2,489;2,482;2,474
02/24/03;2,816;2,785;2,736;2,709;2,645;2,592;2,538;2,497;2,469;2,455;2,441;2,419;2,411;2,406;2,399
02/25/03;2,824;2,787;2,727;2,697;2,618;2,571;2,521;2,481;2,456;2,439;2,425;2,407;2,397;2,389;2,38
02/26/03;2,826;2,786;2,717;2,681;2,589;2,545;2,503;2,472;2,447;2,433;2,422;2,404;2,396;2,39;2,383
02/27/03;2,815;2,756;2,675;2,632;2,555;2,518;2,489;2,46;2,432;2,423;2,412;2,395;2,387;2,381;2,374
02/28/03;2,827;2,747;2,676;2,651;2,567;2,533;2,5;2,479;2,458;2,446;2,439;2,427;2,42;2,417;2,412
03.03.03;2,851;2,749;2,65;2,609;2,539;2,503;2,465;2,443;2,418;2,409;2,397;2,381;2,373;2,364;2,36
03.04.03;2,995;2,755;2,668;2,605;2,523;2,492;2,457;2,433;2,406;2,395;2,379;2,364;2,354;2,349;2,343
03.05.03;2,795;2,665;2,613;2,567;2,498;2,477;2,451;2,426;2,399;2,389;2,377;2,365;2,355;2,351;2,344
03.06.03;2,639;2,586;2,543;2,518;2,485;2,461;2,445;2,424;2,404;2,39;2,381;2,37;2,363;2,357;2,353
03.07.03;2,742;2,683;2,662;2,646;2,569;2,528;2,493;2,464;2,441;2,421;2,405;2,387;2,376;2,364;2,354
03.10.03;2,758;2,708;2,687;2,666;2,588;2,537;2,494;2,463;2,434;2,411;2,392;2,372;2,357;2,345;2,336
03.11.03;2,708;2,689;2,674;2,657;2,584;2,54;2,493;2,46;2,429;2,411;2,393;2,368;2,357;2,346;2,335
03.12.03;2,66;2,656;2,651;2,641;2,581;2,538;2,501;2,47;2,439;2,419;2,402;2,377;2,367;2,357;2,347
03/13/03;2,639;2,639;2,64;2,637;2,589;2,545;2,514;2,481;2,455;2,438;2,423;2,404;2,396;2,389;2,381
03/14/03;2,631;2,634;2,635;2,638;2,6;2,567;2,538;2,513;2,496;2,486;2,48;2,475;2,473;2,471;2,471
03/17/03;2,628;2,631;2,63;2,628;2,593;2,561;2,524;2,495;2,472;2,458;2,444;2,438;2,434;2,431;2,429
