Date;1W;2W;3W;1M;2M;3M;4M;5M;6M;7M;8M;9M;10M;11M;12M
12/29/06;3 624;3 624;3 624;3 633;3 663;3 725;3 766;3 807;3 853;3 886;3 918;3 952;3,98;4 002;4 028
12/28/06;3 633;3 632;3 632;3 634;3 662;3 723;3 765;3 805;3 851;3 884;3 916;3 946;3 974;3 995;4 022
12/27/06;3 745;3 692;3 676;3 672;3 674;3 722;3 762;3 795;3 835;3,87;3 899;3 931;3 956;3 978;4 003
12/22/06;3 749;3 691;3 676;3 671;3 673;3 716;3 757;3,79;3 831;3 865;3 895;3 925;3 951;3 971;3 991
12/21/06;3 741;3 687;3,67;3 665;3 671;3 714;3 755;3 787;3 826;3 864;3 894;3 924;3 948;3 967;3 989
12/20/06;3 634;3 678;3 669;3 663;3 665;3 707;3 744;3 778;3 814;3 848;3 876;3 908;3 927;3 947;3 971
12/19/06;3 626;3 676;3 663;3 663;3 664;3 704;3 739;3 774;3 807;3 842;3 867;3 896;3 921;3 942;3 962
12/18/06;3 619;3 675;3 663;3 657;3,66;3 699;3 734;3 766;3 798;3 829;3 856;3 883;3 905;3 923;3 942
12/15/06;3 612;3 672;3,66;3 655;3 657;3 686;3 726;3 767;3 798;3,83;3 856;3 879;3 899;3 921;3 939
12/14/06;3,6;3 659;3 655;3 654;3 656;3 679;3 724;3 761;3 794;3 825;3 853;3 873;3 894;3,91;3 924
12/13/06;3 595;3,61;3 655;3 653;3 655;3 674;3 719;3 751;3 782;3 806;3 834;3 854;3 871;3 886;3 901
12.12.06;3 596;3,61;3 653;3 653;3 656;3 674;3,72;3 751;3 785;3 808;3 833;3 853;3 871;3 887;3,9
12.11.06;3 591;3 603;3 653;3,65;3 654;3 673;3 717;3 746;3 778;3 805;3 831;3 851;3 869;3 886;3 897
12.08.06;3 551;3 583;3 643;3 634;3 645;3 669;3,71;3 742;3 767;3 795;3 819;3,84;3 852;3 873;3 884
12.07.06;3 503;3 564;3 619;3 625;3,64;3 662;3 694;3 717;3 746;3 768;3 789;3 802;3 818;3 831;3 841
12.06.06;3 402;3 502;3 541;3,6;3 631;3 653;3 689;3 708;3 738;3 761;3 779;3 796;3 811;3 821;3 832
12.05.06;3 365;3 477;3 529;3 596;3 625;3 643;3 682;3 703;3 732;3 751;3 769;3 783;3 794;3 806;3 816
12.04.06;3 335;3 466;3 525;3 594;3 621;3 639;3 676;3 701;3 721;3 739;3 761;3 774;3 786;3 795;3 804
12.01.06;3 335;3 451;3 517;3 588;3 616;3 638;3 676;3 716;3 743;3,77;3 795;3 812;3 825;3,84;3 851
11/30/06;3 336;3 433;3 508;3 574;3 612;3 636;3 676;3 712;3 742;3 768;3 793;3 814;3 831;3 846;3 859
11/29/06;3 336;3 372;3 454;3 548;3 597;3 627;3 664;3 696;3 732;3 757;3 778;3 803;3 817;3 832;3 844
11/28/06;3 336;3 351;3 432;3 494;3 593;3 626;3 659;3 696;3 728;3 753;3 778;3 798;3 815;3 828;3 845
11/27/06;3 336;3 337;3 416;3 484;3 585;3 625;3 663;3 698;3 732;3 758;3 783;3 803;3 824;3,84;3 859
11/24/06;3 337;3 339;3 405;3 474;3 583;3 624;3 664;3 704;3 736;3 765;3 788;3 809;3,83;3 845;3 859
11/23/06;3 336;3 339;3 395;3 464;3 576;3 618;3,66;3 702;3 734;3 769;3 788;3 815;3 838;3 854;3,87
11/22/06;3 336;3 339;3 355;3 452;3 564;3 613;3 653;3 693;3 725;3 754;3 777;3 803;3 824;3 837;3 854
11/21/06;3 336;3 339;3 352;3 443;3 561;3 604;3 642;3 682;3 715;3 745;3 772;3 793;3 813;3 824;3 841
11/20/06;3 345;3 349;3 351;3 416;3 554;3 603;3 645;3,69;3 724;3 751;3 776;3 802;3 819;3 834;3 851
11/17/06;3 346;3 351;3 354;3 411;3 555;3 604;3 655;3 706;3 745;3 779;3 812;3 837;3 857;3 877;3 894
11/16/06;3,35;3 353;3 354;3 404;3 554;3 598;3 653;3 702;3 744;3 778;3 807;3 832;3 852;3 871;3 884
11/15/06;3 348;3 353;3 354;3 395;3 544;3 595;3 645;3 695;3 735;3 772;3 799;3 824;3 843;3 859;3 875
11/14/06;3 352;3 353;3 356;3 396;3 543;3 593;3 645;3 696;3 736;3 773;3 803;3 831;3 852;3 867;3 885
11/13/06;3 352;3 354;3 356;3 379;3 534;3 587;3 641;3,69;3 727;3 758;3,79;3 813;3 835;3 844;3 857
11.10.06;3 354;3 354;3 356;3 371;3 535;3 585;3 639;3 691;3 736;3 768;3 803;3 827;3 846;3 864;3 877
11.09.06;3,35;3 351;3 356;3 368;3 534;3 584;3 643;3 696;3 748;3 783;3 818;3 848;3,87;3 891;3 909
